"Dte.","Barris","1r Trimestre","2n Trimestre","3r Trimestre","4rt Trimestre","Acumulat/1r Trimestre","Acumulat/2n Trimestre","Acumulat/3r Trimestre","Acumulat/4rt Trimestre"
"BARCELONA",,12981,13672,13272,13599,12981,26653,39925,53524
1,"1. el Raval",504,480,456,478,504,984,1440,1918
1,"2. el Barri Gòtic",215,259,228,265,215,474,702,967
1,"3. la Barceloneta",115,114,85,101,115,229,314,415
1,"4. Sant Pere, Santa Caterina i la Ribera",335,345,278,349,335,680,958,1307
2,"5. el Fort Pienc",312,293,325,261,312,605,930,1191
2,"6. la Sagrada Família",533,505,458,506,533,1038,1496,2002
2,"7. la Dreta de l'Eixample",544,546,538,584,544,1090,1628,2212
2,"8. l'Antiga Esquerra de l'Eixample",544,520,560,568,544,1064,1624,2192
2,"9. la Nova Esquerra de l'Eixample",540,609,637,618,540,1149,1786,2404
2,"10. Sant Antoni",385,377,393,357,385,762,1155,1512
3,"11. el Poble Sec - AEI Parc Montjuïc",358,380,358,375,358,738,1096,1471
3,"12. la Marina del Prat Vermell - AEI Zona Franca",0,2,0,1,0,2,2,3
3,"13. la Marina de Port",112,119,114,118,112,231,345,463
3,"14. la Font de la Guatlla",97,95,87,86,97,192,279,365
3,"15. Hostafrancs",147,186,150,163,147,333,483,646
3,"16. la Bordeta",109,103,114,124,109,212,326,450
3,"17. Sants - Badal",191,195,200,195,191,386,586,781
3,"18. Sants",403,396,388,403,403,799,1187,1590
4,"19. les Corts",327,347,402,360,327,674,1076,1436
4,"20. la Maternitat i Sant Ramon",137,159,206,186,137,296,502,688
4,"21. Pedralbes",72,32,74,55,72,104,178,233
5,"22. Vallvidrera, el Tibidabo i les Planes",23,28,24,21,23,51,75,96
5,"23. Sarrià",175,204,227,206,175,379,606,812
5,"24. les Tres Torres",103,109,111,98,103,212,323,421
5,"25. Sant Gervasi - la Bonanova",224,234,225,245,224,458,683,928
5,"26. Sant Gervasi - Galvany",401,475,441,470,401,876,1317,1787
5,"27. el Putxet i el Farró",281,315,319,346,281,596,915,1261
6,"28. Vallcarca i els Penitents",126,132,169,135,126,258,427,562
6,"29. el Coll",60,57,56,50,60,117,173,223
6,"30. la Salut",91,111,89,105,91,202,291,396
6,"31. la Vila de Gràcia",677,664,643,702,677,1341,1984,2686
6,"32. el Camp d'en Grassot i Gràcia Nova",335,373,327,317,335,708,1035,1352
7,"33. el Baix Guinardó",223,224,189,177,223,447,636,813
7,"34. Can Baró",55,81,66,83,55,136,202,285
7,"35. el Guinardó",283,272,242,279,283,555,797,1076
7,"36. la Font d'en Fargues",34,32,43,29,34,66,109,138
7,"37. el Carmel",208,204,170,190,208,412,582,772
7,"38. la Teixonera",52,74,84,85,52,126,210,295
7,"39. Sant Genís dels Agudells",42,60,54,59,42,102,156,215
7,"40. Montbau",40,34,38,42,40,74,112,154
7,"41. la Vall d'Hebron",25,18,26,31,25,43,69,100
7,"42. la Clota",5,2,2,5,5,7,9,14
7,"43. Horta",157,180,147,167,157,337,484,651
8,"44. Vilapicina i la Torre Llobeta",123,174,146,155,123,297,443,598
8,"45. Porta",161,197,152,153,161,358,510,663
8,"46. el Turó de la Peira",92,107,93,88,92,199,292,380
8,"47. Can Peguera",1,1,2,3,1,2,4,7
8,"48. la Guineueta",63,103,84,93,63,166,250,343
8,"49. Canyelles",7,8,11,8,7,15,26,34
8,"50. les Roquetes",76,70,56,68,76,146,202,270
8,"51. Verdun",74,70,72,76,74,144,216,292
8,"52. la Prosperitat",120,166,127,149,120,286,413,562
8,"53. la Trinitat Nova",22,36,37,30,22,58,95,125
8,"54. Torre Baró",4,7,5,5,4,11,16,21
8,"55. Ciutat Meridiana",38,38,35,31,38,76,111,142
8,"56. Vallbona",3,0,3,1,3,3,6,7
9,"57. la Trinitat Vella",46,51,29,48,46,97,126,174
9,"58. Baró de Viver",5,3,5,7,5,8,13,20
9,"59. el Bon Pastor",51,52,42,40,51,103,145,185
9,"60. Sant Andreu",290,323,317,338,290,613,930,1268
9,"61. la Sagrera",149,181,186,192,149,330,516,708
9,"62. el Congrés i els Indians",89,95,91,92,89,184,275,367
9,"63. Navas",142,143,121,157,142,285,406,563
10,"64. el Camp de l'Arpa del Clot",320,371,350,357,320,691,1041,1398
10,"65. el Clot",198,189,163,170,198,387,550,720
10,"66. el Parc i la Llacuna del Poblenou",100,113,98,98,100,213,311,409
10,"67. la Vila Olímpica del Poblenou",58,58,50,58,58,116,166,224
10,"68. el Poblenou",272,269,239,292,272,541,780,1072
10,"69. Diagonal Mar i el Front Marítim del Poblenou",91,68,170,84,91,159,329,413
10,"70. el Besòs i el Maresme",112,100,109,97,112,212,321,418
10,"71. Provençals del Poblenou",132,100,118,96,132,232,350,446
10,"72. Sant Martí de Provençals",130,129,113,114,130,259,372,486
10,"73. la Verneda i la Pau",83,96,98,106,83,179,277,383
,"NC barri",329,409,407,398,329,738,1145,1543
